# z_Ang d_from_mol_Ang V_A_eV V_B_eV dV_eV dV_mac_eV
1.736168e+01 -3.227340e+01 -3.929871e-01 -3.240580e-01 -1.783982e-03 -1.595473e-03
1.743283e+01 -3.220224e+01 -4.075398e-01 -3.386694e-01 -1.725182e-03 -1.493646e-03
1.750399e+01 -3.213109e+01 -4.110381e-01 -3.422489e-01 -1.643971e-03 -1.391269e-03
1.757514e+01 -3.205993e+01 -4.029403e-01 -3.342566e-01 -1.538470e-03 -1.288326e-03
1.764630e+01 -3.198878e+01 -3.844371e-01 -3.158453e-01 -1.446649e-03 -1.184749e-03
1.771745e+01 -3.191762e+01 -3.580405e-01 -2.895376e-01 -1.357719e-03 -1.080302e-03
1.778861e+01 -3.184647e+01 -3.274692e-01 -2.590472e-01 -1.276776e-03 -9.749859e-04
1.785976e+01 -3.177531e+01 -2.975855e-01 -2.292405e-01 -1.199901e-03 -8.686870e-04
1.793092e+01 -3.170416e+01 -2.730186e-01 -2.047432e-01 -1.130238e-03 -7.618053e-04
1.800207e+01 -3.163301e+01 -2.569340e-01 -1.887507e-01 -1.038060e-03 -6.604946e-04
1.807322e+01 -3.156185e+01 -2.507004e-01 -1.826845e-01 -8.707196e-04 -5.644483e-04
1.814438e+01 -3.149070e+01 -2.548271e-01 -1.868510e-01 -8.310080e-04 -4.662152e-04
1.821553e+01 -3.141954e+01 -2.694201e-01 -2.015442e-01 -7.307231e-04 -3.657291e-04
1.828669e+01 -3.134839e+01 -2.954277e-01 -2.276515e-01 -6.309599e-04 -2.631498e-04
1.835784e+01 -3.127723e+01 -3.331575e-01 -2.655614e-01 -4.509240e-04 -1.579602e-04
1.842900e+01 -3.120608e+01 -3.797530e-01 -3.122656e-01 -3.421754e-04 -5.057350e-05
